Razão Social,Fantasia,C.N.P.J.,I.E.,Endereço,Complemento,Número,Bairro,Cidade,CEP,UF
MSS - FERRAMENTARIA - EIRELI - 1,MSS-USINAGEM (MS TRAU),07.453.271/0001-41,286.281.282.115,RUA BOROROS,,619,CONCEICAO,DIADEMA,09990-270,SP
MRT EXPRESS ***** INAPTA,MRT   OBS EMPRESA FALIU,15.627.294/0001-53,336997373116,RUA CRISTINO CASTRO ,ROD PRESIDEN KM 206,299,JD.ARACILIAIA,GUARULHOS,07250-050,SP
MOTO PECAS RB LTDA,MOTO PECAS RB LTDA,57.672.634/0001-08,181644907110,RUA LAVINEO DE ARRUDA FALCAO,GALPAO04,1272,JARDIM CRUZEIRO DO SUL I E II,ARARAQUARA,14808-390,SP
MORVILLO ATACADO HIDRAULICA,MORVILLO ATACADO HIDRAULICA,09.487.215/0002-34,181168334119,RUA ITALIA,,2187,CENTRO,ARARAQUARA,14801-350,SP
MORVILLO ,MORVILLO (PROPRIO),09.487.215/0001-53,181359307111,AV OCTAVIO DE OLIVEIRA AMEDURO,,49,CENTRO,ARARAQUARA,14801-350,SP
MORADA DO SOL AMBIENTAL REC DE RES DA CONSTR CIVIL LTDA EPP,MORADA DO SOL AMBIENTAL REC DE RES DA CONSTR CIVIL LTDA EPP,07.671.890/0001-02,181343400116,AVENIDA JOAO BAPTISTA DE OLIVEIRA,,SN,JARDIM SILVANIA (VILA XAVIER),ARARAQUARA,14811-000,SP
MODERNIZZE TRANSPORTES E RECICLAGEM DE PRODUTOS LTDA,MODERNIZZE TRANSPORTES E RECICLAGEM DE PRODUTOS LTDA,31.041.413/0001-48,119.753.023.114,R MARIANO DE SOUSA,,110,CHACARA SANTO ANTONIO ZONA LESTE,SAO PAULO,03411-090,SP
MMC TRANSPORTES E LOGISTICA EIRELI - ME ,MMC TRANSPORTES E LOGISTICA EIRELI - ME ,07.070.900/0003-16,336950260111,AV NOVA CUMBICA,,1250,NOVA CUMBICA,GUARULHOS,07231-000,SP
MK LOG TRANSPORTES LTDA,MK LOG TRANSPORTES LTDA,05.081.404/0001-70,134.120.278.114,RUA FRITZ JANK,,282,PARQUE NOVO MUNDO,SAO PAULO,02181-120,SP
MJCL TRANSPORTES LTDA,MJCL TRANSPORTES LTDA,21.738.051/0001-95,796296729115,RUA NOVA VENEZA,,172,CIDADE INDUSTRIAL SATELITE DE SAO P,GUARULHOS,07221-000,SP
MISTAO TRANS/E.G.MATERIAL,MISTAO TRANS/E.G MATERIAL ,15.039.118/0003-62,336318810114,R: PIRACURA,,204,BOM SUCESSO,GUARULHOS,07177-020,SP
MIRIAM ROBERTA DE ALMEIDA ,MIRIAM ROBERTA DE ALMEIDA ,24.146.766/0001-47,ISENTO,RUA BAHIA,CASA 03,78,JARDIM SILVA,EMBU,06804-330,SP
MIRA OTM TRANSPORTES LTDA,MIRA OPM TRANSPORTES LTDA,58.506.155/0001-84,115.237.721.119,RUA SAO QUIRINO ,,1090,VL GUILHERME,SAO PAULO,02056-070,SP
MIR TRANSPORTES LOGISTICA LTDA,MIR TRANSPORTES LOGISTICA LTDA,03.565.095/0001-89,254.139.175,RUA. BARÃO DO RIO BRANCO,,168,CENTRO,RIO DO SUL,89160-000,SC
MIR TRANSPORTES E LOGISTICA LTDA (MIRIN) ,TRANSPORTADORA MIRIN,03.565.095/0002-60,336500015117,RUA QUELUZ,,211,CUMBICA,GUARULHOS,07220-050,SP
MIOR TRANSPORTES LTDA-ME,MIOR TRANSPORTES LTDA-ME,05.756.860/0001-73,255563728,RUA CORONEL PROCOPIO GOMES DE OLIVEIRA,SALA 2,S/C,CENTRO,JARAGUA DO SUL,89251-201,SC
MINDLOG SOLUCOES INTELIGENTES LTDA,MINDLOG SOLUCOES INTELIGENTES LTDA,37.836.532/0001-73,298.377.660.110,RUA MARCELINO PINTO TEIXEIRA,GALPAO1 E 2,1268,PARQUE INDUSTRIAL RAMOS DE FREITAS,EMBU DAS ARTES,06816-000,SP
MINAS WAY TRANSPORTES LTDA,MINAS WAY,03.290.503/0001-37,115461463118,RUA CEZARIO ALVIN,,567,BELENZINHO,SÃO PAULO,03054-000,SP
MINAS STAR EXPRESS LTDA - EPP,MINAS STAR EXPRESS LTDA,41.676.545/0002-80,336.394.136-110,RUA GONCALVES ,,118,CUMBICA,GUARULHOS,07222-060,SP
MILENIUM TRANSPORTES LTDA,MILENIUM TRANSPORTES LTDA,00.091.369/0002-38,336.411.537.116,AV JARAGUA,,197,CIDADE INDUSTRIAL SATELITE DE SAO P,GUARULHOS,07221-050,SP
MIG TRANSPORTES E LOGISTICA LTDA - ME,MIG ,71.427.876/0002-48,140.899.501.114,RUA CABO ANTONIO ALVES,ENFRENTE AO NÚMERO 53,90,PARQUE NOVO MUNDO,SAO PAULO,02185-010,SP
MG TRANSPORTES - MARCOS A.G,MG TRANSPORTES - MARCOS A.G,27.410.231/0001-20,ISENTO,RUA JOSÉ BENEDITO DA ROSA,,154,CENTRO,SÃO PAULO,00000-000,SP
MG TRANSP. LOGISTICA LTDA ,MG TRANSPORTES LOGISTICA LTDA,04.529.941/0002-59,336676530112,RUA SANTA EFIGENIA,,581,VILA PARAISO,GUARULHOS,07242-100,SP
MF TRANSPORTE LOGISTICA LTDA ME,MF TRANSPORTE LOGISTICA LTDA ME,08.800.073/0002-50,ISENTO,RUA LIDICE,GALPÃO 08/DELA VOLP,22,PARQUE NOVO MUNDO,SÃO PAULO,02174-010,SP
METASIL SANDING MACHINES E ABRASIVOS LTDA - EPP,METASIL SANDING MACHINE IND.MAQ.LTDA EPP,07.792.136/0001-20,353.257.090.118,RUA FREDERICO MAGNUSSON,,227,COMERCIAL VITORIA MARTINI,INDAIATUBA,13347-624,SP
METAR LOGISTICA LTDA.,METAR LOGISTICA LTDA.,10.992.167/0018-88,647580922117,RUA JOSE POLACHINI SOBRINHO,SALA 1,644,JARDIM URANO,SAO JOSE DO RIO PRETO,15084-160,SP
METAR LOGISTICA LTDA.,METAR LOGISTICA LTDA.,10.992.167/0027-79,256212279,AVENIDA JUSCELINO KUBITSCHEK DE OLIVEIRA,SALA A,111,ESTREITO,FLORIANOPOLIS,88070-120,SC
METAR LOGISTICA LTDA,VIAÇÃO COMETA - GIII,10.992.167/0036-60,147.252.683.114,RUA CORONEL MARQUES RIBEIRO,SALA 1,325,VILA GUILHERME,SAO PAULO,02068-050,SP
METALBO INDUSTRIA DE FIXADORES METALICOS LTDA ,METALBO INDUSTRIA DE FIXADORES METALICOS LTDA ,75.483.040/0002-11,251886603,RODOVIA SC 426 -TREVO BR 470,,3207,CENTRO,TROMBUDO CENTRAL,89176-000,SC
MESMO (AQUARELA),MESMO (AQUARELA),99.999.999/0001-91,181065289117,ALAMEDA PAULISTA,,2069,JARDIM SILVANIA (VILA XAVIER),ARARAQUARA,14811-060,SP
MERIDIONAL CARGAS LTDA,MERIDIONAL CARGAS LTDA,23.864.838/0004-71,113893783112,RUA SAO QUIRINO,,862,VILA GUILHERME,SAO PAULO,02056-070,SP
MERCADOLIVRE.COM ATIVIDADES DE INTERNET LTDA,MERCADOLIVRE.COM ATIVIDADES DE INTERNET LTDA,03.361.252/0001-34,ISENTO,"AVENIDA DAS NACOES UNIDAS, 3000 ",,3000,BONFIM ,OSASCO,06233-903,SP
MERCADO LIVRE,MERCADO LIVRE,03.007.331/0111-86,122833210111,ESTR. MUN. JOSÉ SEDANO,,854,TECHNO PARK,CAMPINAS,13061-155,SP
MERCADO ENVIOS SERVICOS LOGISTICA LTDA,MERCADO ENVIOS SERVICOS LOGISTICA LTDA,20.121.850/0009-02,241114128111,"AVENIDA DR ANTONIO JOAO ABDALLA, 3333,",,3333,VILA UNIAO,CAJAMAR,07750-000,SP
MERCADO ENVIOS SERVICOS DE LOGISTICAS LTDA,MERCADO ENVIOS SERVICOS DE LOGISTICAS LTDA,20.121.850/0020-18,ISENTO,RUA ESTRADA DA TELHA,,483,BARRO DURO,LAURO DE FREITAS,42735-100,BA
MERCADO ENVIOS SERVICOS DE LOGISTICA LTDA.,MERCADO ENVIOS SERVICOS DE LOGISTICA LTDA.,20.121.850/0019-84,0031650340150,AVENIDA GENERAL DAVID SARNOFF,,3185,INCONFIDENTES,CONTAGEM,32260-272,MG
MERCADO ENVIOS SERVICOS DE LOGISTICA LTDA.,MERCADO ENVIOS SERVICOS DE LOGISTICA LTDA.,20.121.850/0001-55,492875457119,"AVENIDA DAS NACOES UNIDAS, 3000 ",PARTE C,3003,BONFIM ,OSASCO,06233-903,SP
MERCADO ENVIOS SERVICOS DE LOGISTICA LTDA,MERCADO ENVIOS SERVICOS DE LOGISTICA LTDA,20.121.850/0021-07,11699375,"RUA FRANCISCO DE SOUSA E MELO, ",,1590,CORDOVIL,RIO DE JANEIRO,20010-410,RJ
MERCADO ENVIOS SERVICOS DE LOGISTICA LTDA,MERCADO ENVIOS SERVICOS DE LOGISTICA LTDA,20.121.850/0118-66,127450470118,RUA ORLANDA BERGAMO,,0,CIDADE INDUSTRIAL SATELITE DE SAO P,GUARULHOS,07232-151,SP
MERCADO ENVIOS SERVICOS DE LOGISTICA LTD,MERCADO ENVIOS SERVICOS DE LOGISTICA LTD,20.121.850/0007-40,ISENTO,AVENIDA PREFEITO JOAO VILALLOBO QUERO,,1560,JARDIM BELVAL,BARUERI,06422-122,SP
MERCADO ENVIOS OFF,MERCADO ENVIOS OFF,03.499.243/0001-04,ISENTO,AVENIDA DAS NACOES UNIDAS,,"3000,3003",CHACARA ITAIM,SAO PAULO,04533-085,SP
MELITTIO TRANSPORTES LTDA - ME,MELITTIO TRANSPORTES LTDA,07.420.253/0001-63,336749254115,AVENIDA SAO MATEUS DO MARANHAO,,251,CUMBICA,GUARULHOS,07222-140,SP
MDT GUARULHOS TRANSPORTES E LOGISTICA LTDA,MDT - MELHOR DISTRIBUIDORA DE TRANSPORTES E LOGISTICA,42.441.206/0001-05,127.402.147.110,RUA CLEMENTINA ,,110,CIDADE INDUSTRIAL SATELITE DE SAO P,GUARULHOS,07222-240,SP
MDS LOGISTICA DE CARGA LTDA - ME,MDS LOGISTICA DE CARGA LTDA - ME,19.878.473/0002-03,796.249.075.118,RUA DOS JESUITAS,,12,CIDADE INDUSTRIAL SATELITE DE SAO P,GUARULHOS,07231-060,SP
MDLA PRODUTOS DE LIMPEZA LTDA,MANIA DE LIMPEZA,21.531.332/0001-72,181574893114,RUA ARGEMIRO GONCALVES DA ROCHA,LETRA B,376,JARDIM DUMONT,ARARAQUARA,14808-605,SP
MDF TRANSPORTES - USAR A TRANSP. MD S (6525),MDF TRANSPORTES LTDA,09.814.063/0002-37,336529209110,RUA BIRIGUI,,1117,CIDADE JARDIM CUMBICA,GUARULHOS,07180-310,SP
MCP TRANSPORTES LTDA.,MCP TRANSPORTES,57.686.057/0002-94,065619765,RUA VALDIR DANTAS,LETRA E,440,PEDRAS,FORTALEZA,60874-400,CE
MCP TRANSPORTES LTDA ,MCP TRANSPORTES LTDA ,57.686.057/0001-03,336.575.256.112,RUA SANTA ELIZABETH,,179,VILA PARAISO,GUARULHOS,07241-170,SP
MB TRANSPORTES EIRELI,MB TRANSPORTES EIRELI,04.901.176/0001-75,669485940114,ESTRADA DO LAUREANO,,386,EDEN,SOROCABA,18103-105,SP
MAY TRANSPORTES E LOGISTICA LTDA-EPP,MAY TRANSPORTES E LOGISTICA LTDA-EPP,12.920.525/0002-05,796195904114,RUA DOUTOR MOACYR ANTONIO DE MORAIS,,268,PQ STO AGOSTINHO,GUARULHOS,07140-285,SP
MAXLUB COM DE LUBRIFIC E FILTROS LTDA ,MAXLUB COM DE LUBRIFIC E FILTROS LTDA ,04.235.922/0001-39,ISENTO ,AVENIDA ANTONIO GARBUIO ,,345,BOSQUE TAMANDUA ,DESCALVADO,13690-000,SP
MAXFRIO TRANSPORTES LTDA,MAXFRIO TRANSPORTES LTDA,01.613.290/0001-01,442299053114,RUA JURACI ALETTO,GALPAÕ 04,400,SERTÃOZINHO 	,MAUÁ,09370-813,SP
MAURO DELGADO PRONE ,MAURO DELGADO PRONE,13.705.427/0001-37,140.324.304.110,RUA JOSE ZAPPI,,1079 A,VILA PRUDENTE,SÃO PAULO,03128-141,SP
MASTRA TRANSPORTADORA LTDA,MASTRA TRANSPORTADORA,44.916.503/0001-87,417701437116,RUA TIRADENTES,KM 143 6 GALPAO8 SALA 1,S/N,CENTRO,LIMEIRA,13480-970,SP
MASANO TRANSPORTES LTDA - ME,MASANO TRANSPORTES LTDA - ME,16.560.839/0001-14,145483590119,R CABO OSCAR ROSSINI,A,19,PARQUE NOVO MUNDO,SAO PAULO,02186-030,SP
MARTINSLOG TRANSPORTES E LOGISTICA LTDA,MARTINSLOG TRANSPORTES E LOGISTICA LTDA,53.264.572/0001-44,132.646.218.112,RUA SANTA JULIA,,45,VILA PARAISO,GUARULHOS,07241-280,SP
MARTINS TRANSPORTES LTDA,TRANS MARTINS,17.191.172/0004-35,110496134110,RUA SUBLIMAÇÃO,"AVENIDA BANDEIRANTES DO SUL, 771 ",38,VILA MARIA,SAO PAULO,02165-000,SP
MARTINS MARIANO TRANSPORTES,IMPAKTO TRANSPORTES,11.318.709/0001-56,148.881.197.110,RUA SANTA ANGELINA,,456,VILA SAO RAFAEL,GUARULHOS,07053-122,SP
MARSUL TRANSPORTES LTDA ,MARSUL TRANSPORTES,05.151.100/0002-13,336694584111,RUA SIMAO PEREIRA,,446,CIDADE INDUSTRIAL SATELITE DE SAO P,GUARULHOS,07223-140,SP
MARLI VALERIA GONÇALVES - ME,ULTRAGAZ,09.174.569/0001-48,181345653113,AVENIDA JOSE AIEVOLI,,91,PARQUE RESIDENCIAL IGUATEMI,ARARAQUARA,14808-233,SP
MARJEAN LOG TRANSPORTES E ARMAZENAGEM LT,.,07.785.619/0001-06,148656653118,RUA DIEGO VELASQUES,,105,JD. BRITANIA,SAO PAULO,05269-030,SP
MARILINS MUDANCA E TRANSPORTE LTDA - ME,TRANSPORTES MARILINS LTDA,08.765.896/0002-92,336879760112,RUA BENEDITO VALADARES RIBEIRO,,3178,CUMBICA,GUARULHOS,17131-010,SP
MARDONIO CARGO EXPRESS TRANSPORTES EIRELI ,MARDONIO CARGO EXPRESS TRANSPORTES EIRELI ,67.743.625/0001-14,206.272.671.113,AL RIO PRETO ,SALA 04	,452,TAMBORE,BARUERI,06460-050,SP
MARCIEL SIMEZIO DE PAIVA,SERRALHERIA CARABENCE,,,AV PROJECTA,B PROX SANTOS DUMONT,8,CUMBICA,GUARULHOS,07222-130,SP
MARA-JA TRANSPORTES E LOGISTICA LTDA  CORRETO,MARAJA,02.973.203/0001-90,336.483.175.119,AV PATOS,,165,CIDADE INDUSTRIAL SATELITE DE SÃO P,GUARULHOS,07222-010,SP
MARAJA EXPRESS TRANSPORTES LTDA,MARAJA EXPRESS TRANSPORTES LTDA,57.854.184/0001-74,796.657.094.110,AV PATOS,,165,CIDADE INDUSTRIAL SATELITE DE SAO P,GUARULHOS,07222-010,SP
MARA LUCIA MAURO EPP,FENIX DISTRIBUIDORA,08.382.398/0001-80,582.729.263.110,AVENIDA DO CAFE,,1836,VILA AMELIA,RIBEIRAO PRETO,14050-230,SP
MAQUINAS DANLY LTDA,MAQUINAS DANLY LTDA,43.299.791/0003-77, 432.024.460.119,AVENIDA PRINK,,151,-,MAIRINQUE,18120-000,SP
MANETONI DISTRIBUIDORA DE PRODUTOS SIDERURGICOS IMPORTACAO E EXPORTACAO LTDA,MANETONI DISTRIBUIDORA DE PRODUTOS SIDERURGICOS IMPORTACAO E,49.795.800/0024-21,127.543.317.110,RUA SUME,GALPAO01,N.260,CIDADE INDUSTRIAL SATELITE DE SAO P,GUARULHOS,07224-030,SP
MANETONI DIST. P SID IMP EXP LTDA,MANETONI  AÇOS,49.795.800/0018-83,535.006.320.113,RUA PROFESSOR AFFONSO JOSE FIORAVANTI,"ROD. CORNELIO PIRES SP 127, KM 43,5 PIRACICABA SP",00085,LOTEAMENTO CITY JARAGUA,SAO PAULO,02998-010,SP
MANETONI DIST PROD SID IMP EXP LTDA,MANETONI DIST PROD SID IMP EXP LTDA,49.795.800/0025-02,153753635111,RUA CECILIA ROIZEN,,904,CID.NDL SATELITE SP,GUARULHOS,72220-20 ,SP
MANDAE SERVICOS DE CONSULTORIA EM LOGISTICA LTDA,MANDAE SERVICOS DE CONSULTORIA EM LOGISTICA LTDA,19.782.476/0001-50,ISENTO,RUA MAJOR PALADINO,GALPAO18 E 19,128,VILA RIBEIRO DE BARROS,SAO PAULO,05307-000,SP
"MANDACARU ***** FECHOU,  USAR (9568)",MANDACARU TRANSPORTES N.S.F,02.512.484/0001-83,336468770110,RUA DA AVIACAO,,132,VILA SAO RAFAEL,GUARULHOS,07053-140,SP
MANDA LA TRANSPORTES DE CARGAS LTDA - EPP,MANDA LA TRANSPORTES DE CARGAS LTDA - EPP,03.298.420/0003-56,336.832.471.110,R MONICA APARECIDA MOREDO,GALPAO,350,JARDIM FATIMA,GUARULHOS,07177-220,SP
MANASSES TRANSPORTES E LOGISTICA LTDA,MANASSES,13.119.676/0002-21,336.605.606.119,RUA ITAPARANTIM,,69,JD.PRESIDENTE DUTRA,GUARULHOS,07171-050,SP
MALU TRANSPORTES EIRELI,MALU TRANSPORTES EIRELI,12.233.203/0001-07,ISENTO,RUA SOLDADO JOSE PIRES BARBOSA FILHO,TRAV AV SERAFIM GONÇALVES  PEREIRA,26,PARQUE NOVO MUNDO,SAO PAULO,02178-020,SP
MAIK MIRANDA TRANSPORTES LTDA - ME,MAIK MIRANDA ,10.204.509/0002-90,336534736115,RUA ARGIRITA,,221,CUMBICA,GUARULHOS,07231-020,SP
MAIA & COSTA TRANSPORTES LTDA,MAIA & COSTA TRANSPORTES LTDA,11.509.697/0001-47,064.003.019,RUA RAFAEL MALZONI,,821,VILA REAL,JUAZEIRO DO NORTE,63043-016,CE
MAGALU LOG SERVICOS LOGISTICOS LTDA,MAGALU LOG SERVICOS LOGISTICOS LTDA,24.230.747/0001-02,ISENTO,RUA DA COROA,,1554,VILA GUILHERME,SAO PAULO,02047-020,SP
MAGALU LOG SERVICOS LOGISTICOS LTDA,MAGALU LOG SERVICOS LOGISTICOS LTDA,24.230.747/0952-19,407998775118,AVENIDA JOSE ALVES DE OLIVEIRA,,300,DISTRITO INDUSTRIAL,JUNDIAI,13213-105,SP
MAGALHAES LOGISTICA LTDA ,MAGALHAES LOGISTICA LTDA ,09.230.232/0003-72,143425538111,RUA PROFESSOR JOAO CAVALEIRO SALEM,,1200,PARQUE DAS NACOES,GUARULHOS,07243-580,SP
MAF TRANSPORTES LTDA,.,04.287.948/0002-01,149870979117,RUA LIDICE, ARMZ 07 -A,22,PARQUE NOVO MUNDO,SAO PAULO,02174-010,SP
MACAE EXPRESS TRANSPORTES LTDA - ME,MACAE EXPRESS,08.657.939/0001-35,149591280117,RUA DOS GAULESES,,80,JD GUANCA,SAO PAULO,02150-005,SP
MAC - TRANS EXPRESSO RODOVIARIO LTDA,HUNGARO CAMION OU CARRION TRANSPORTES,14.586.146/0002-56,796.032.703.119,RUA DONA SANTA VELOSO,,160,VILA GUILHERME,SAO PAULO,02050-000,SP
MABELINI- INDUSTRIA DE ARRUELAS E PENEIRAS ,MABELINI- INDUSTRIA DE ARRUELAS E PENEIRAS ,68.458.900/0001-10,530.004.719.115,"ROD. SP 342, KM 199,5",CAIXA POSTAL -  184,Nº 360,DISTR. INDUSTRIAL I,ESPIRITO SANTO DO PINHAL,13990-000,SP
M.KRASIC TRANSPORTES E COMERCIO LTDA,M.KRASIC TRANSPORTES E COMERCIO LTDA,34.867.916/0002-46,ISENTO,RUA PROFESSOR JOAO CAVALEIRO SALEM,LOTE  AREAB 2C            SALA  06,1138,PARQUE DAS NACOES,GUARULHOS,07243-580,SP
M.J.M. INDUSTRIA E TRANSPORTES LTDA ,M.J.M. INDUSTRIA E TRANSPORTES LTDA ,53.141.782/0001-45,181.610.481.110,RUA LAVINEO DE ARRUDA FALCAO,GALPÃO 03,1272,JARDIM CRUZEIRO DO SUL I E II,ARARAQUARA,14808-390,SP
M.A.Y TRANSPORTE LTDA,M.A.Y TRANSPORTE LTDA,43.666.814/0002-53,: 127.987.916.117,RUA DOUTOR MOACYR ANTONIO DE MORAES,,268,PARQUE SANTO AGOSTINHO,GUARULHOS,07140-285,SP
M. N. B. F. M. SERVICOS ADMINISTRATIVOS LTDA,M. N. B. F. M. SERVICOS ADMINISTRATIVOS LTDA,06.093.812/0001-05,166066613113,AVENIDA JOAQUIM PINTO PEREIRA DE ALMEIDA,LOJA 15,124,JARDIM BELA VISTA,AMERICO BRASILIENSE,14820-294,SP
M. MUNIZ LOGISTICA LTDA,M. MUNIZ LOGISTICA LTDA,05.922.371/0001-44,633689537115,R DOUTOR MANOEL TOURINHO,,26,MACUCO,SANTOS,11015-30 ,SP
M. A. DA SILVA - TRANSPORTE DE CARGAS,FRANCAL OPERACAO DE TRANSPORTES,12.867.843/0002-50,796627920111,RUA BICAS,SLJ LOJA 01,60,CIDADE INDUSTRIAL SATELITE DE SAO P,GUARULHOS,07223-040,SP
M DE SOUZA TRANSPORTES (TRASMESQUITA),TRANSMESQUITA,04.987.437/0002-00,333.710.827.116,RUA MERCE,,210,CUMBICA,GUARULHOS,07223-050,SP
M &amp; B TRANSPORTES LTDA,TRANS - AMIGOS TRANSPORTE E LOGISTICA,20.471.254/0001-03,240262630,RUA SIAO,SALA  B,977,NOVA CANAA,BOA VISTA,69314-416,RR
M & B TRANSPORTES LTDA TRANS-AMIGOS,TRANS - AMIGOS TRANSPORTE E LOGISTICA,20.471.254/0002-86,127.840.491.116,AVENIDA PATOS,,1437,CIDADE INDUSTRIAL SATELITE DE SAO P,GUARULHOS,07222-010,SP
LUSEANNA-EX TRANSPORTES E ARMAZENAGEM LTDA,LUSEANNA-EX TRANSPORTES E ARMAZENAGEM LTDA,05.310.304/0001-79,116.496.154.113,RUA DAS GUEIXAS,,127,JARDIM JAPAO,SAO PAULO,02123-030,SP
LUIZ VERISSIMO DA NOBREGA,ESTRELA DOURADA,02.023.485/0002-45,114.865.125.110,ALAMEDA SEGUNDO-SARGENTO ANDIRAS NOGUEIRA DE ABREU,,171,PARQUE NOVO MUNDO,SAO PAULO,02180-050,SP
LUIZ KRAUSE - EPP (TRANSPORTADORA LV),LUIZ KRAUSE - EPP (TRANSPORTADORA LV),79.498.630/0001-98,252130316,ESTRADA FALMITAL,,1037,.,GARUVA,00000-000,SC
LUIZ GUSTAVO VASCONCELOS GOMES SILVA 39436045867,LUIZ GUSTAVO VASCONCELOS GOMES SILVA 39436045867,29.596.118/0001-06,ISENTO,RUA DUQUE DE SALDANHA,,53,JORDANOPOLIS,SAO PAULO,04830-390,SP
LUIZ CARLOS FERREIRA DA CONCEICAO TRANSPORTES,LUIZ CARLOS FERREIRA DA CONCEICAO TRANSPORTES (TRL TRANSPORT,07.869.005/0001-02,796.535.031.117,AV PATOS,,1349,CIDADE INDUSTRIAL SATELITE DE SAO P,GUARULHOS,07222-010,SP
LUDEX TRANSPORTES E COMERCIO LTDA (MASTER),LUDEX TRANSPORTES E COMERCIO LTDA,11.730.651/0001-53,147.092.366.112,RUA SANTA ROSA DE LIMA,,1354,JARDIM SANTO ELIAS (SAO MIGUEL),SAO PAULO,08022-340,SP
LUBRIFIC EQUIPAMENTOS E  ACESSORIOS  LTDA,LUBRIFIC EQUIPAMENTOS E  ACESSORIOS  LTDA,74.207.242/0001-97,181103083116,AVENIDA SETE DE SETEMBRO,,417,CARMO,ARARAQUARA,14800-390,SP
LUB CLEAR COMERCIAL LTDA - EPP,OLEO  LUB CLEAR COMERCIAL LTDA ME,16.913.959/0001-58,647628837110,AVENIDA FAUSTO SUCENA RASGA,,800,JD. VETORASSO,SAO JOSE DO RIO PRETO,15040-290,SP
LRV PARTICIPACOES E REPRESENTACOES MULTNEGOCIOS LTDA,LRV PARTICIPACOES E REPRESENTACOES MULTNEGOCIOS LTDA,47.064.513/0001-20,ISENTO,AVENIDA PATOS,,969,CIDADE INDUSTRIAL SATELITE DE SAO P,GUARULHOS,07222-010,SP
LOSANE COMERCIAL DE UTILIDADES LTDA,LOSANE COMERCIAL DE UTILIDADES LTDA,14.207.428/0002-03,796.674.779.113,RUA MONTES CLAROS,GALPAO 2,398,CIDADE INDUSTRIAL SATELITE DE SAO P,GUARULHOS,07223-110,SP
LORDNESS INTERNATIONAL COMPANY LTDA ,LORDNESS INTERNATIONAL COMPANY LTDA ,22.093.742/0001-41,124847440117,RUA VENEZA,,340,JARDIM CAMPESTRE,GUARULHOS,07175-110,SP
LORD COCKRANE TRANSPORTES RODOVIARIOS LT,LORD COCKRANE TRANSPORTES RODOVIARIOS LT,10.266.668/0001-39,148249301110,RUA LORD COCKRANE,,1224,IPIRANGA,SAO PAULO,04213-002,SP
LOGPREMIUM TRANSPORTADORA LTDA ,LOGPREMIUM TRANSPORTADORA LTDA ,17.059.789/0002-30,142212406113,RUA FRANCISCO FANGANIELO,,449,PARQUE NOVO MUNDO,SAO PAULO,02181-160,SP
LOGISTICA INTERVALE,LOGISTICA INTERVALE,02.337.854/0003-55,336.657.322.116,RUA DOS JESUITAS,,1000,CUMBICA,GUARULHOS,07231-060,SP
LOGHIS LOGISTICA E SERVICOS LTDA,LOGHIS LOGISTICA E SERVICOS LTDA,02.006.282/0001-60,688213205110,AVENIDA BANDEIRANTES,,W625,JARDIM MARIA AUGUSTA,TAUBATE,12070-100,SP
LOGGX TRANSPORTE DE CARGAS EIRELI,LOGGX TRANSPORTE DE CARGAS EIRELI,08.716.379/0002-23,796.457.909.110,RUA BENEDITO CLIMERIO DE SANTANA,,559,VARZEA DO PALACIO,GUARULHOS,07034-080,SP
LOGGX TRANSPORTE DE CARGAS - LTDA,LOGGX TRANSPORTE DE CARGAS - LTDA,08.716.379/0001-42, 04.224.227-4 NL,RUA SANA,SALA  E,12,PLANALTO,MANAUS,69045-770,AM
LOGGLASS LOGISTICA E TRANSPORTES EIRELI,LOGGLASS LOGISTICA E TRANSPORTES EIRELI,14.051.881/0001-84,392.276.428.113,AVENIDA GETULIO DORNELES VARGAS,,1500,JARDIM CALIFORNIA,JACAREI,12305-000,SP
LOG7 - TRANSPORTES E LOGISTICA EIRELI,LOG7 LOGISTICA,33.156.044/0001-64,796.872.047.118,AVENIDA DOUTOR ASSIS RIBEIRO,,5135,ERMELINO MATARAZZO,SAO PAULO,03827-000,SP
LOG ONIAS TRANSPORTES LTDA(MASTER),LOG ONIAS TRANSPORTES LTDA,30.640.592/0003-39,796.999.400.113,AVENIDA BOM JESUS DA LAPA,,862,VILA NOVA BONSUCESSO,GUARULHOS,07175-140,SP
LOG EXPRESS TRANSPORTES LTDA,LOG EXPRESS TRANSPORTES,06.995.647/0001-87,116.890.794-119,RUA MANUEL SILVINO BANDEIRA DE MELO,,78,VILA GUILHERME,SAO PAULO,02054-040,SP
LM TRANSPORTES LTDA,LM TRANSPORTES,10.834.852/0002-19,796.154.640.116,RUA:SAO PAULO,,914,JD.DA VARZEA,SANTANA DE PARNAIBA,06530-075,SP
LIDER MOLAS,LIDER MOLAS,02.167.038/0001-89,165.152.998.110,RUA PURUS ,SALÃO 02,646,JD SÃO ROQUE,AMERICANA,13469-450,SP
LG TRANSPORTES LTDA (USAR A TRANSPORTADORA - 8371),LG TRANSPORTES LTDA,20.151.346/0003-60,112738650113,RUA PAULO EMILIO,TERMINAL DE CARGAS FERNAO DIAS QD6 BOX 05,S/N,VILA SABRINA,SAO PAULO,02162-040,SP
LG TRANSPORTE E LOGISTICA LTDA,LG TRANSPORTE E LOGISTICA LTDA,49.633.780/0001-04,127843116110,AVENIDA NOVA CUMBICA,,1112,VILA NOVA CUMBICA,GUARULHOS,07231-000,SP
